,x,y,z,layer,region,type
313,3412.5503701921466,-1089.978833014761,-3160.9792640928677,L6,S1FL,LineSource
314,3436.6443701921467,-1096.017833014761,-3129.626264092868,L6,S1FL,LineSource
315,3460.7393701921465,-1102.056833014761,-3098.2742640928677,L6,S1FL,LineSource
316,3484.8343701921467,-1108.095833014761,-3066.922264092868,L6,S1FL,LineSource
317,3508.9293701921465,-1114.133833014761,-3035.569264092868,L6,S1FL,LineSource
318,3533.0233701921466,-1120.172833014761,-3004.2172640928675,L6,S1FL,LineSource
319,3557.1183701921464,-1126.211833014761,-2972.864264092868,L6,S1FL,LineSource
320,3581.2133701921466,-1132.250833014761,-2941.5122640928676,L6,S1FL,LineSource
321,3605.3083701921464,-1138.289833014761,-2910.1602640928677,L6,S1FL,LineSource
322,3629.4033701921467,-1144.328833014761,-2878.8072640928676,L6,S1FL,LineSource
323,3653.4983701921465,-1150.367833014761,-2847.4552640928678,L6,S1FL,LineSource
324,3677.5933701921467,-1156.4068330147609,-2816.1022640928677,L6,S1FL,LineSource
325,3701.6883701921465,-1162.4458330147609,-2784.750264092868,L6,S1FL,LineSource
326,3725.7823701921466,-1168.4848330147609,-2753.398264092868,L6,S1FL,LineSource
327,3749.8773701921464,-1174.5238330147608,-2722.045264092868,L6,S1FL,LineSource
